text,intent
Bụng to do cổ trướng dai dẳng 1 tuần nay. Nước tiểu sẫm màu vài ngày nay. Đau tức hạ sườn phải từng cơn vài ngày nay. Sao mạch trên da nhẹ 1 tuần nay. Sụt cân nhiều khi gắng sức.,Xơ gan hoặc gan có vấn đề
Khô miệng dai dẳng gần đây. Vết thương lâu lành khi nghỉ. Cảm giác kiến bò ở bàn chân tăng dần gần đây.,Tiểu đường
Sa búi trĩ nhẹ. Sưng quanh hậu môn dai dẳng 1 tuần nay. Dịch nhầy quanh hậu môn dai dẳng khi nghỉ.,Trĩ
Mệt mỏi dai dẳng khi gắng sức. Viêm họng tăng dần 1 tuần nay. Sốt cao nhẹ vài ngày nay.,Cảm cúm hoặc cảm lạnh
Giảm cân không chủ ý nhẹ khi nghỉ. Ngứa da nhẹ. Chuột rút nhiều khi nghỉ. Hơi thở mùi trái cây dai dẳng khi nghỉ.,Tiểu đường
Giảm khi nghỉ ngơi nhẹ 1 tuần nay. Đau tăng khi nâng vật nặng dai dẳng 1 tuần nay. Hạn chế vận động từng cơn vài ngày nay. Lạo xạo khi cử động khớp dai dẳng 1 tuần nay.,Đau lưng và viêm khớp
"Gần đây, Rối loạn giấc ngủ nhẹ gần đây. Buồn nôn khi gắng sức. Phù mặt nhẹ vài ngày nay. Mệt mỏi tăng dần.",Suy thận
"Khoảng 2 tuần, Cảm giác cộm vướng 1 tuần nay. Sưng quanh hậu môn nhẹ gần đây.",Trĩ
Nóng đỏ khớp tăng dần gần đây. Sưng đau khớp gối 2 tuần gần đây. Hạn chế vận động. Cứng khớp buổi sáng từng cơn khi nghỉ.,Đau lưng và viêm khớp
Phù mắt cá chân tăng dần. Đau tức ngực nhiều 1 tuần nay. Nhịp tim không đều từng cơn gần đây.,Tim mạch
"Hiện tại, Cứng khớp buổi sáng tăng dần khi nghỉ. Sưng khớp dai dẳng 2 tuần gần đây. Cứng lưng buổi sáng khi nghỉ. Sưng đau khớp gối nhẹ khi nghỉ. Hạn chế vận động nhẹ khi nghỉ.",Đau lưng và viêm khớp
"Hiện tại, Da sưng nề khi nghỉ. Da nứt nẻ nhẹ khi gắng sức.",Viêm da tiếp xúc
Ngứa quanh hậu môn dai dẳng 1 tuần nay. Sưng quanh hậu môn nhẹ về đêm. Đau rát hậu môn nhiều 1 tuần nay. Chảy máu khi đi tiêu từng cơn khi nghỉ.,Trĩ
"Hiện tại, Lòng bàn tay đỏ nhẹ. Vàng da vàng mắt từng cơn 2 tuần gần đây. Buồn nôn nhẹ.",Xơ gan hoặc gan có vấn đề
Sốt cao dai dẳng khi gắng sức. Hắt hơi nhẹ 1 tuần nay. Đau họng vài ngày nay. Chảy nước mũi dai dẳng 1 tuần nay. Sốt từng cơn.,Cảm cúm hoặc cảm lạnh
Buồn nôn nhiều vài ngày nay. Đau quặn hông lưng nhiều 1 tuần nay. Ớn lạnh nhẹ gần đây. Tiểu gấp nhẹ.,Sỏi thận
"Hiện tại, Da dày lên theo mảng tăng dần 2 tuần gần đây. Da sưng nề tăng dần. Mụn nước phồng rộp dai dẳng.",Viêm da tiếp xúc
"Hiện tại, Nóng đỏ khớp về đêm. Cứng lưng buổi sáng dai dẳng. Đau lan xuống mông hoặc chân tăng dần 1 tuần nay. Đau tăng khi ngồi lâu dai dẳng 2 tuần gần đây. Sưng đau khớp cổ tay tăng dần.",Đau lưng và viêm khớp
Mệt mỏi tăng dần. Chảy máu cam nhiều. Phù chân từng cơn gần đây.,Xơ gan hoặc gan có vấn đề
"Khoảng 2 tuần, Tiểu đêm nhiều nhiều về đêm. Phù chân nhiều 1 tuần nay.",Suy thận
Chuột rút tăng dần khi gắng sức. Ngứa da nhiều 2 tuần gần đây. Nhiễm trùng da tái phát dai dẳng vài ngày nay. Tê bì tay chân nhiều về đêm.,Tiểu đường
"Thỉnh thoảng, Ho có đờm nhẹ. Mệt mỏi nhiều vài ngày nay. Viêm họng dai dẳng vài ngày nay. Chảy nước mũi khi nghỉ. Đau cơ nhẹ.",Cảm cúm hoặc cảm lạnh
"Khoảng 3 ngày nay, Đau tức hạ sườn phải khi gắng sức. Ngứa da dai dẳng. Buồn nôn dai dẳng 2 tuần gần đây. Mệt mỏi tăng dần vài ngày nay.",Xơ gan hoặc gan có vấn đề
Da dày lên theo mảng nhiều 1 tuần nay. Rát bỏng da nhẹ khi nghỉ. Ban đỏ giới hạn vùng tiếp xúc nhiều 2 tuần gần đây. Vảy da dai dẳng 1 tuần nay. Da nứt nẻ nhẹ 2 tuần gần đây.,Viêm da tiếp xúc
"Thỉnh thoảng, Tê bì tay chân tăng dần 1 tuần nay. Nhìn mờ từng cơn 2 tuần gần đây. Cảm giác kiến bò ở bàn chân dai dẳng gần đây. Khô miệng nhẹ khi gắng sức. Nhiễm trùng da tái phát từng cơn về đêm.",Tiểu đường
"Khoảng 3 ngày nay, Chuột rút dai dẳng khi nghỉ. Ngứa da tăng dần 1 tuần nay. Vết thương lâu lành từng cơn về đêm.",Tiểu đường
Nôn nhẹ vài ngày nay. Sốt nhẹ khi gắng sức. Tiểu ra máu nhẹ gần đây.,Sỏi thận
Cứng lưng buổi sáng dai dẳng khi gắng sức. Đau tăng khi vận động khớp nhẹ khi gắng sức.,Đau lưng và viêm khớp
Tê bì chân tăng dần về đêm. Yếu chân tăng dần. Cứng lưng buổi sáng nhiều gần đây. Sưng đau nhức khớp gối tăng dần.,Đau lưng và viêm khớp
Da sưng nề nhiều 1 tuần nay. Da rỉ dịch nhẹ về đêm. Vảy da dai dẳng khi gắng sức.,Viêm da tiếp xúc
Mụn nước phồng rộp nhiều vài ngày nay. Da rỉ dịch nhiều về đêm. Da nứt nẻ tăng dần 1 tuần nay.,Viêm da tiếp xúc
Vàng da vàng mắt từng cơn vài ngày nay. Phân bạc màu nhiều khi nghỉ. Bụng to do cổ trướng nhiều vài ngày nay. Buồn nôn dai dẳng khi nghỉ. Sụt cân khi gắng sức.,Xơ gan hoặc gan có vấn đề
Bầm tím dễ dàng tăng dần 2 tuần gần đây. Mệt mỏi dai dẳng. Ngứa da tăng dần vài ngày nay.,Xơ gan hoặc gan có vấn đề
Sưng quanh hậu môn tăng dần 1 tuần nay. Cảm giác cộm vướng tăng dần gần đây. Sa búi trĩ nhẹ khi nghỉ.,Trĩ
"Khoảng 3 ngày nay, Chảy máu cam nhiều khi gắng sức. Chán ăn nhẹ gần đây. Nước tiểu sẫm màu dai dẳng gần đây. Bầm tím dễ dàng nhiều 2 tuần gần đây.",Xơ gan hoặc gan có vấn đề
Nhịp tim không đều vài ngày nay. Đau lan cánh tay trái nhiều 2 tuần gần đây. Mệt mỏi bất thường. Ho khan dai dẳng dai dẳng về đêm. Phù mắt cá chân nhẹ khi nghỉ.,Tim mạch
Ho nhiều khi nghỉ. Sốt cao tăng dần 1 tuần nay. Đổ mồ hôi nhẹ. Ho có đờm nhiều 1 tuần nay. Khò khè từng cơn khi gắng sức.,Cảm cúm hoặc cảm lạnh
"Gần đây, Rát bỏng da từng cơn 2 tuần gần đây. Da dày lên theo mảng gần đây. Cảm giác châm chích nhiều khi gắng sức. Vảy da từng cơn 1 tuần nay.",Viêm da tiếp xúc
Chảy nước mũi 2 tuần gần đây. Ho khi gắng sức. Đổ mồ hôi nhẹ về đêm. Sốt nhẹ dai dẳng. Sốt cao tăng dần 2 tuần gần đây.,Cảm cúm hoặc cảm lạnh
Yếu chân nhiều về đêm. Giảm khi nghỉ ngơi dai dẳng khi gắng sức. Hạn chế vận động về đêm. Sưng khớp về đêm. Đau tăng khi nâng vật nặng dai dẳng về đêm.,Đau lưng và viêm khớp
Da rỉ dịch nhẹ 1 tuần nay. Cảm giác châm chích tăng dần khi gắng sức. Vảy da từng cơn khi nghỉ.,Viêm da tiếp xúc
Khó thở từng cơn. Đau tức ngực vài ngày nay.,Tim mạch
Khò khè khi nằm tăng dần gần đây. Chóng mặt từng cơn về đêm. Hồi hộp đánh trống ngực nhẹ khi gắng sức. Đau tức ngực 1 tuần nay. Tim đập nhanh tăng dần 2 tuần gần đây.,Tim mạch
Chán ăn nhiều gần đây. Sụt cân tăng dần về đêm.,Xơ gan hoặc gan có vấn đề
"Gần đây, Nước tiểu có mùi hôi nhẹ 1 tuần nay. Tiểu gấp nhẹ vài ngày nay. Buồn nôn nhiều khi gắng sức.",Sỏi thận
Khó thở nhẹ về đêm. Hồi hộp đánh trống ngực nhẹ khi gắng sức. Vã mồ hôi lạnh 1 tuần nay. Mệt mỏi bất thường dai dẳng khi gắng sức. Nặng ngực từng cơn khi nghỉ.,Tim mạch
"Thỉnh thoảng, Khô miệng từng cơn 2 tuần gần đây. Nhiễm trùng da tái phát nhiều 1 tuần nay. Chuột rút dai dẳng.",Tiểu đường
"Thỉnh thoảng, Hồi hộp đánh trống ngực nhiều về đêm. Ho khan dai dẳng nhiều 2 tuần gần đây. Phù mắt cá chân. Ngất khi nghỉ. Khò khè khi nằm từng cơn gần đây.",Tim mạch
"Thỉnh thoảng, Tiểu gấp từng cơn. Đau quặn hông lưng dai dẳng. Tiểu ra máu dai dẳng khi nghỉ.",Sỏi thận
Đau lan xuống háng nhẹ gần đây. Ớn lạnh nhẹ vài ngày nay.,Sỏi thận
Chuột rút khi gắng sức. Nhìn mờ về đêm. Đói và mệt mỏi tăng dần. Khát về đêm dai dẳng 1 tuần nay.,Tiểu đường
"Gần đây, Chuột rút dai dẳng khi gắng sức. Tê bì tay chân dai dẳng 2 tuần gần đây. Ngứa da nhẹ khi nghỉ.",Tiểu đường
Đau khi ngồi lâu khi gắng sức. Đau rát hậu môn tăng dần vài ngày nay.,Trĩ
Ngứa da nhiều khi nghỉ. Rối loạn giấc ngủ nhẹ 1 tuần nay. Đau tức hạ sườn phải tăng dần 1 tuần nay. Sụt cân từng cơn gần đây. Phân bạc màu nhiều 2 tuần gần đây.,Xơ gan hoặc gan có vấn đề
Giảm cân không chủ ý tăng dần vài ngày nay. Chuột rút dai dẳng gần đây. Nhiễm trùng da tái phát nhẹ. Khát nước liên tục nhiều.,Tiểu đường
Nhìn mờ dai dẳng vài ngày nay. Khô miệng nhiều khi gắng sức. Nhiễm trùng da tái phát nhẹ 1 tuần nay.,Tiểu đường
Đau khi ngồi lâu về đêm. Sưng quanh hậu môn nhiều về đêm. Chảy máu khi đi tiêu vài ngày nay.,Trĩ
Bụng to do cổ trướng từng cơn về đêm. Sao mạch trên da từng cơn 1 tuần nay. Bầm tím dễ dàng tăng dần. Chán ăn từng cơn về đêm. Vàng da vàng mắt về đêm.,Xơ gan hoặc gan có vấn đề
Buồn nôn nhiều. Lòng bàn tay đỏ vài ngày nay. Chảy máu cam dai dẳng về đêm. Sao mạch trên da nhẹ khi gắng sức.,Xơ gan hoặc gan có vấn đề
"Khoảng 1 tuần nay, Hồi hộp đánh trống ngực 1 tuần nay. Ngất từng cơn về đêm. Khó thở dai dẳng khi nghỉ.",Tim mạch
Đau lan xuống mông hoặc chân tăng dần khi nghỉ. Tê bì chân dai dẳng khi gắng sức. Cứng lưng buổi sáng nhẹ khi gắng sức. Lạo xạo khi cử động khớp từng cơn. Yếu chân từng cơn vài ngày nay.,Đau lưng và viêm khớp
"Khoảng vài hôm, Nôn tăng dần vài ngày nay. Tiểu ra máu dai dẳng 2 tuần gần đây. Tiểu gấp vài ngày nay. Ớn lạnh tăng dần vài ngày nay.",Sỏi thận
"Hiện tại, Đau quặn hông lưng nhẹ vài ngày nay. Tiểu gấp nhiều về đêm. Ớn lạnh nhẹ 1 tuần nay.",Sỏi thận
"Khoảng vài hôm, Nước tiểu có mùi hôi dai dẳng khi nghỉ. Nôn tăng dần 2 tuần gần đây. Buồn nôn dai dẳng về đêm. Sốt dai dẳng.",Sỏi thận
Tê bì chân nhiều. Yếu chân từng cơn vài ngày nay.,Đau lưng và viêm khớp
Tiểu nhiều bất thường dai dẳng vài ngày nay. Căng tức khi đi tiểu từng cơn khi gắng sức.,Suy thận
Chóng mặt dai dẳng về đêm. Phù mắt cá chân nhiều 2 tuần gần đây. Tim đập nhanh tăng dần vài ngày nay.,Tim mạch
"Hiện tại, Chán ăn dai dẳng khi gắng sức. Tiểu ra máu từng cơn khi gắng sức. Căng tức khi đi tiểu nhẹ khi nghỉ. Rối loạn giấc ngủ khi gắng sức. Cơ giật dai dẳng vài ngày nay.",Suy thận
Nước tiểu có mùi hôi nhiều. Ớn lạnh dai dẳng 1 tuần nay. Đau tăng từng cơn nhiều. Buồn nôn tăng dần vài ngày nay.,Sỏi thận
Khát nước liên tục dai dẳng khi gắng sức. Nhìn mờ dai dẳng về đêm. Đói và mệt mỏi gần đây. Khát về đêm từng cơn khi nghỉ.,Tiểu đường
Rối loạn giấc ngủ nhẹ. Nước tiểu sẫm màu nhiều khi gắng sức.,Suy thận
Lòng bàn tay đỏ tăng dần 1 tuần nay. Bầm tím dễ dàng vài ngày nay. Chán ăn tăng dần gần đây. Ngứa da khi nghỉ.,Xơ gan hoặc gan có vấn đề
"Khoảng 3 ngày nay, Ngứa da nhiều vài ngày nay. Khô miệng nhẹ. Nhìn mờ nhẹ 1 tuần nay.",Tiểu đường
Cảm giác cộm vướng nhẹ vài ngày nay. Dịch nhầy quanh hậu môn nhiều 2 tuần gần đây.,Trĩ
"Hiện tại, Đau khi ngồi lâu nhiều. Cảm giác cộm vướng từng cơn gần đây. Đau rát hậu môn nhiều vài ngày nay.",Trĩ
"Khoảng 2 tuần, Đau cơ dai dẳng 1 tuần nay. Ho khan nhẹ 1 tuần nay. Viêm họng nhiều khi nghỉ. Mệt mỏi nhẹ 1 tuần nay. Sốt từng cơn về đêm.",Cảm cúm hoặc cảm lạnh
Ớn lạnh tăng dần gần đây. Hoa mắt hoa mắt nhiều khi gắng sức.,Suy thận
Ho khan dai dẳng tăng dần khi nghỉ. Nhịp tim không đều tăng dần 1 tuần nay. Ngất tăng dần khi nghỉ. Mệt mỏi bất thường nhiều khi gắng sức. Khó thở nhẹ 1 tuần nay.,Tim mạch
Rối loạn giấc ngủ tăng dần vài ngày nay. Buồn nôn dai dẳng khi nghỉ. Đau ngực từng cơn vài ngày nay. Cơ giật 1 tuần nay.,Suy thận
Đói và mệt mỏi dai dẳng. Ngứa da nhiều vài ngày nay. Giảm cân không chủ ý. Chuột rút về đêm. Vết thương lâu lành nhẹ 2 tuần gần đây.,Tiểu đường
Sa búi trĩ tăng dần gần đây. Sưng quanh hậu môn về đêm.,Trĩ
"Gần đây, Đau lan xuống háng nhẹ khi nghỉ. Nước tiểu đục tăng dần vài ngày nay. Đau rát khi đi tiểu.",Sỏi thận
Sưng đau khớp gối nhiều khi gắng sức. Đau lưng dữ dội nhẹ về đêm. Đau tăng khi ngồi lâu từng cơn khi nghỉ. Đau lan xuống mông hoặc chân từng cơn khi gắng sức.,Đau lưng và viêm khớp
"Hiện tại, Nước tiểu có bọt dai dẳng 2 tuần gần đây. Tiểu đêm nhiều. Tăng huyết áp khó kiểm soát tăng dần vài ngày nay. Rối loạn giấc ngủ nhẹ.",Suy thận
"Hiện tại, Ngứa dữ dội dai dẳng về đêm. Da dày lên theo mảng tăng dần 2 tuần gần đây. Ban đỏ giới hạn vùng tiếp xúc nhiều 2 tuần gần đây. Da nứt nẻ nhẹ khi nghỉ. Da sưng nề nhiều khi nghỉ.",Viêm da tiếp xúc
"Thỉnh thoảng, Sa búi trĩ nhẹ 1 tuần nay. Cảm giác cộm vướng dai dẳng khi gắng sức. Ngứa quanh hậu môn nhiều khi gắng sức. Đau khi ngồi lâu nhẹ vài ngày nay. Sưng quanh hậu môn nhẹ gần đây.",Trĩ
Sa búi trĩ dai dẳng. Chảy máu khi đi tiêu nhiều về đêm.,Trĩ
"Hiện tại, Lạo xạo khi cử động khớp nhẹ khi gắng sức. Sưng đau nhức khớp gối dai dẳng gần đây. Tê bì chân tăng dần vài ngày nay. Đau lưng âm ỉ dai dẳng. Sưng đau nhức khớp cổ tay dai dẳng 2 tuần gần đây.",Đau lưng và viêm khớp
Ho có đờm nhiều khi nghỉ. Đau họng từng cơn 2 tuần gần đây.,Cảm cúm hoặc cảm lạnh
Nặng ngực nhiều vài ngày nay. Mệt mỏi bất thường nhiều.,Tim mạch
Chảy máu khi đi tiêu từng cơn. Cảm giác cộm vướng nhẹ khi gắng sức. Sa búi trĩ nhẹ khi nghỉ.,Trĩ
Phân bạc màu nhiều 2 tuần gần đây. Ngứa da nhẹ 2 tuần gần đây. Lòng bàn tay đỏ nhiều. Chán ăn dai dẳng 2 tuần gần đây.,Xơ gan hoặc gan có vấn đề
Đau đầu tăng dần. Viêm họng về đêm.,Cảm cúm hoặc cảm lạnh
Buồn nôn 1 tuần nay. Hoa mắt chóng mặt vài ngày nay.,Suy thận
Sa búi trĩ nhẹ 1 tuần nay. Chảy máu khi đi tiêu. Đau khi ngồi lâu từng cơn 1 tuần nay.,Trĩ
Da khô và ngứa dai dẳng khi nghỉ. Tiểu ra máu nhẹ.,Suy thận
Tăng huyết áp khó kiểm soát tăng dần khi nghỉ. Phù mặt dai dẳng khi nghỉ. Ớn lạnh nhẹ về đêm. Hơi thở có mùi hôi khi gắng sức. Nấc kéo dài dai dẳng 2 tuần gần đây.,Suy thận
Da nứt nẻ nhẹ vài ngày nay. Da rỉ dịch nhiều khi gắng sức. Mụn nước phồng rộp dai dẳng khi gắng sức.,Viêm da tiếp xúc
"Thỉnh thoảng, Sụt cân nhẹ khi gắng sức. Phù chân. Bầm tím dễ dàng về đêm. Vàng da vàng mắt tăng dần về đêm.",Xơ gan hoặc gan có vấn đề
Đói và mệt mỏi vài ngày nay. Nhiễm trùng da tái phát tăng dần về đêm. Tê bì tay chân nhẹ 2 tuần gần đây. Chuột rút tăng dần.,Tiểu đường
Ngứa quanh hậu môn từng cơn khi nghỉ. Dịch nhầy quanh hậu môn từng cơn. Sa búi trĩ tăng dần gần đây. Cảm giác cộm vướng nhiều gần đây.,Trĩ
Tiểu ra máu dai dẳng về đêm. Hoa mắt chóng mặt từng cơn 2 tuần gần đây. Hơi thở có mùi hôi từng cơn 2 tuần gần đây. Ngứa dai dẳng dai dẳng gần đây.,Suy thận
"Khoảng 2 tuần, Đau khi ngồi lâu từng cơn gần đây. Đau rát hậu môn tăng dần gần đây. Sưng quanh hậu môn dai dẳng về đêm. Dịch nhầy quanh hậu môn nhiều về đêm.",Trĩ
"Khoảng 3 ngày nay, Cứng lưng buổi sáng vài ngày nay. Nóng đỏ khớp tăng dần 1 tuần nay. Đau lan xuống mông hoặc chân tăng dần khi nghỉ. Đau tăng khi ngồi lâu nhiều.",Đau lưng và viêm khớp
Khát về đêm nhiều khi gắng sức. Đi tiểu nhiều lần 2 tuần gần đây. Cảm giác kiến bò ở bàn chân từng cơn khi nghỉ.,Tiểu đường
"Thỉnh thoảng, Khò khè từng cơn về đêm. Sốt nhiều 2 tuần gần đây.",Cảm cúm hoặc cảm lạnh
Bầm tím dễ dàng vài ngày nay. Phân bạc màu nhiều về đêm. Sao mạch trên da từng cơn vài ngày nay. Phù chân nhẹ 2 tuần gần đây.,Xơ gan hoặc gan có vấn đề
"Gần đây, Ngứa quanh hậu môn dai dẳng về đêm. Sa búi trĩ 2 tuần gần đây. Cảm giác cộm vướng từng cơn 1 tuần nay.",Trĩ
Đau lan cánh tay trái nhẹ khi nghỉ. Phù mắt cá chân tăng dần khi gắng sức. Khò khè khi nằm nhẹ khi gắng sức. Tim đập nhanh dai dẳng 1 tuần nay.,Tim mạch
Sốt nhẹ gần đây. Khò khè nhẹ khi gắng sức. Ho có đờm tăng dần về đêm. Đổ mồ hôi nhẹ khi nghỉ.,Cảm cúm hoặc cảm lạnh
Đau họng nhẹ khi gắng sức. Ho có đờm dai dẳng gần đây.,Cảm cúm hoặc cảm lạnh
"Hiện tại, Chảy máu cam nhiều gần đây. Đau tức hạ sườn phải nhiều gần đây.",Xơ gan hoặc gan có vấn đề
"Gần đây, Cảm giác cộm vướng từng cơn 2 tuần gần đây. Chảy máu khi đi tiêu dai dẳng gần đây. Ngứa quanh hậu môn nhẹ về đêm.",Trĩ
Tăng huyết áp khó kiểm soát tăng dần vài ngày nay. Tiểu ít dai dẳng vài ngày nay. Ngứa dai dẳng nhẹ gần đây.,Suy thận
Đau họng từng cơn gần đây. Mệt mỏi khi gắng sức. Sốt cao dai dẳng 2 tuần gần đây. Nhức mỏi toàn thân nhiều khi nghỉ.,Cảm cúm hoặc cảm lạnh
"Gần đây, Chán ăn tăng dần gần đây. Nước tiểu sẫm màu nhẹ 1 tuần nay. Tiểu ít từng cơn 2 tuần gần đây. Ngứa dai dẳng khi gắng sức. Khó thở tăng dần về đêm.",Suy thận
Tiểu nhiều bất thường tăng dần 2 tuần gần đây. Rối loạn giấc ngủ nhiều gần đây. Nước tiểu sẫm màu gần đây.,Suy thận
Mệt mỏi nhẹ về đêm. Hắt hơi dai dẳng gần đây. Khò khè nhẹ 1 tuần nay. Đau họng nhẹ 2 tuần gần đây. Đau cơ tăng dần 1 tuần nay.,Cảm cúm hoặc cảm lạnh
Chán ăn nhiều 1 tuần nay. Sụt cân từng cơn 2 tuần gần đây. Phân bạc màu khi gắng sức. Chảy máu cam khi gắng sức. Mệt mỏi dai dẳng khi gắng sức.,Xơ gan hoặc gan có vấn đề
"Hiện tại, Đau lan xuống háng từng cơn khi nghỉ. Nước tiểu đục tăng dần. Tiểu buốt từng cơn khi gắng sức.",Sỏi thận
"Hiện tại, Khát nước liên tục từng cơn gần đây. Tê bì tay chân khi gắng sức.",Tiểu đường
Phù chân. Ngứa da nhẹ về đêm.,Xơ gan hoặc gan có vấn đề
"Hiện tại, Phù mắt cá chân dai dẳng vài ngày nay. Đau tức ngực nhiều về đêm. Khó thở nhiều vài ngày nay.",Tim mạch
Giảm khi nghỉ ngơi nhiều. Sưng đau khớp cổ tay. Lạo xạo khi cử động khớp nhẹ khi nghỉ.,Đau lưng và viêm khớp
"Gần đây, Khô miệng tăng dần về đêm. Ngứa da dai dẳng 1 tuần nay.",Tiểu đường
Da dày lên theo mảng từng cơn khi gắng sức. Cảm giác châm chích nhẹ khi gắng sức. Ngứa dữ dội tăng dần khi gắng sức.,Viêm da tiếp xúc
Đau cơ từng cơn khi nghỉ. Mệt mỏi nhiều 2 tuần gần đây. Hắt hơi từng cơn gần đây.,Cảm cúm hoặc cảm lạnh
Đau lan xuống háng nhẹ khi gắng sức. Đau quặn hông lưng dai dẳng khi nghỉ. Đau tăng từng cơn nhiều 1 tuần nay.,Sỏi thận
Đau tăng từng cơn dai dẳng về đêm. Tiểu gấp nhiều vài ngày nay.,Sỏi thận
Ho có đờm khi gắng sức. Sổ mũi nhẹ. Viêm họng nhiều 1 tuần nay. Ớn lạnh từng cơn về đêm. Đau cơ gần đây.,Cảm cúm hoặc cảm lạnh
Khò khè dai dẳng 1 tuần nay. Ho có đờm dai dẳng.,Cảm cúm hoặc cảm lạnh
"Thỉnh thoảng, Vết thương lâu lành vài ngày nay. Đói và mệt mỏi từng cơn khi nghỉ. Nhiễm trùng da tái phát tăng dần 1 tuần nay.",Tiểu đường
"Gần đây, Lạo xạo khi cử động khớp nhiều 1 tuần nay. Yếu chân nhẹ.",Đau lưng và viêm khớp
Lạo xạo khi cử động khớp nhẹ gần đây. Đau tăng khi nâng vật nặng dai dẳng 1 tuần nay.,Đau lưng và viêm khớp
"Hiện tại, Cứng lưng buổi sáng 2 tuần gần đây. Nóng đỏ khớp gần đây. Đau lan xuống mông hoặc chân dai dẳng về đêm. Cứng khớp buổi sáng nhiều.",Đau lưng và viêm khớp
Nặng ngực nhiều khi gắng sức. Khò khè khi nằm dai dẳng về đêm. Chóng mặt khi gắng sức. Khó thở nhẹ vài ngày nay.,Tim mạch
Đau tăng từng cơn từng cơn khi gắng sức. Đau lan xuống háng từng cơn 2 tuần gần đây.,Sỏi thận
"Gần đây, Đau rát khi đi tiểu từng cơn 2 tuần gần đây. Buồn nôn từng cơn khi gắng sức. Đau quặn hông lưng nhiều gần đây. Sốt tăng dần gần đây.",Sỏi thận
